payroll_no,start_date,end_date,check_date,optional_withholdings_changes_by
1,1/3/2026,1/16/2026,1/23/2026,1/16/2026
2,1/17/2026,1/30/2026,2/6/2026,1/30/2026
3,1/31/2026,2/13/2026,2/20/2026,2/13/2026
4,2/14/2026,2/27/2026,3/6/2026,2/27/2026
5,2/28/2026,3/13/2026,3/20/2026,3/13/2026
6,3/14/2026,3/27/2026,4/3/2026,3/27/2026
7,3/28/2026,4/10/2026,4/17/2026,4/10/2026
8,4/11/2026,4/24/2026,5/1/2026,4/24/2026
9,4/25/2026,5/8/2026,5/15/2026,5/8/2026
10,5/9/2026,5/22/2026,5/28/2026,5/22/2026
11,5/23/2026,6/5/2026,6/12/2026,6/5/2026
12,6/6/2026,6/19/2026,6/26/2026,6/19/2026
13,6/20/2026,7/3/2026,7/10/2026,7/3/2026
14,7/4/2026,7/17/2026,7/24/2026,7/17/2026
15,7/18/2026,7/31/2026,8/7/2026,7/31/2026
16,8/1/2026,8/14/2026,8/21/2026,8/14/2026
17,8/15/2026,8/28/2026,9/4/2026,8/28/2026
18,8/29/2026,9/11/2026,9/18/2026,9/11/2026
19,9/12/2026,9/25/2026,10/2/2026,9/25/2026
20,9/26/2026,10/9/2026,10/16/2026,10/9/2026
21,10/10/2026,10/23/2026,10/30/2026,10/23/2026
22,10/24/2026,11/6/2026,11/12/2026,11/6/2026
23,11/7/2026,11/20/2026,11/27/2026,11/20/2026
24,11/21/2026,12/4/2026,12/11/2026,12/4/2026
25,12/5/2026,12/18/2026,12/25/2025,12/18/2026
26,12/19/2026,1/1/2027,1/8/2027,1/1/2027
27,1/2/2027,1/15/2027,1/22/2027,1/15/2027
